"","date","tavg","prev_yrs_tavg","monthly_lagged_tavg_deviation","ab_temp"
"1",2007-01-01,3.04,13.05975,-12.35225,2.3325
"2",2007-02-01,-2.08,13.0054166666667,-10.6645833333333,-4.42083333333333
"3",2007-03-01,5.68,13.0070833333333,-7.92208333333333,0.594999999999999
"4",2007-04-01,10.19,13.0009166666667,-3.07841666666667,0.2675
"5",2007-05-01,18.46,13.0281666666667,0.877666666666668,4.55416666666667
"6",2007-06-01,21.87,13.0304166666667,5.18625,3.65333333333334
"7",2007-07-01,23.88,13.0270833333333,7.50125,3.35166666666667
"8",2007-08-01,23.35,13.0304166666667,7.36875,2.95083333333333
"9",2007-09-01,21.26,13.04575,3.95508333333333,4.25916666666667
"10",2007-10-01,17.55,13.0775,-1.6825,6.155
"11",2007-11-01,7.45,13.0818333333333,-5.3485,-0.283333333333334
"12",2007-12-01,2.75,13.0759166666667,-9.96008333333333,-0.365833333333333
"13",2008-01-01,2.5,13.05975,-12.1055833333333,1.54583333333333
"14",2008-02-01,2.1,13.0373333333333,-11.2398333333333,0.3025
"15",2008-03-01,5.91,13.0245833333333,-7.92291666666666,0.808333333333334
"16",2008-04-01,12.75,13.0291666666667,-3.16833333333333,2.88916666666667
"17",2008-05-01,15.6,13.0095,1.16883333333334,1.42166666666667
"18",2008-06-01,23.33,13.0319166666667,5.20725,5.09083333333333
"19",2008-07-01,25.78,13.041,7.454,5.285
"20",2008-08-01,23.22,13.0278333333333,7.40466666666667,2.78749999999999
"21",2008-09-01,20.46,13.0213333333333,4.13283333333333,3.30583333333334
"22",2008-10-01,12.86,13.0103333333333,-1.29783333333333,1.1475
"23",2008-11-01,7.69,12.9999166666667,-5.22325,-0.0866666666666669
"24",2008-12-01,3.39,12.9765833333333,-9.91991666666667,0.333333333333334
"25",2009-01-01,-2.27,12.9488333333333,-12.1563333333333,-3.0625
"26",2009-02-01,2.63,12.9391666666667,-11.3658333333333,1.05666666666666
"27",2009-03-01,5.79,12.93875,-7.96458333333333,0.815833333333332
"28",2009-04-01,12.51,12.9434166666667,-3.03675,2.60333333333333
"29",2009-05-01,16.93,12.9408333333333,1.04083333333334,2.94833333333333
"30",2009-06-01,19.71,12.9145,5.54883333333334,1.24666666666667
"31",2009-07-01,22.58,12.8741666666667,7.71166666666666,1.99416666666667
"32",2009-08-01,24.27,12.875,7.42583333333334,3.96916666666667
"33",2009-09-01,19.06,12.8624166666667,4.22675,1.97083333333333
"34",2009-10-01,12.76,12.8575,-1.255,1.1575
"35",2009-11-01,10.63,12.85925,-5.18675,2.9575
"36",2009-12-01,2.17,12.8406666666667,-10.0173333333333,-0.653333333333334
"37",2010-01-01,0.29,12.8464166666667,-12.3314166666667,-0.225000000000001
"38",2010-02-01,0.62,12.8271666666667,-11.3505,-0.856666666666667
"39",2010-03-01,9,12.8318333333333,-7.86183333333333,4.03
"40",2010-04-01,14.37,12.8636666666667,-2.91033333333333,4.41666666666667
"41",2010-05-01,18.48,12.87175,1.08408333333333,4.52416666666667
"42",2010-06-01,23.7,12.8873333333333,5.31266666666667,5.5
"43",2010-07-01,27.41,12.9291666666667,7.25333333333334,7.2275
"44",2010-08-01,25.23,12.95225,7.35691666666667,4.92083333333333
"45",2010-09-01,21.7,12.9758333333333,3.9875,4.73666666666666
"46",2010-10-01,14.52,12.9813333333333,-1.428,2.96666666666667
"47",2010-11-01,8.83,12.9935,-5.3035,1.14
